gene_name	source	accession	description
GRMZM2G139583	RefSeq peptide	NP_001144461	hypothetical protein LOC100277427 
GRMZM2G123959	RefSeq peptide	NP_001168961	hypothetical protein LOC100382781 
GRMZM2G164948	RefSeq peptide	NP_001150113	LOC100283742 
GRMZM2G170692	RefSeq peptide	NP_001168086	hypothetical protein LOC100381820 
GRMZM2G063758	UniProtKB/TrEMBL	B6SSR7	Putative uncharacterized protein 
GRMZM2G389944	RefSeq peptide	NP_001136593	hypothetical protein LOC100216716 
GRMZM2G162093	UniProtKB/TrEMBL	C4JA02	Putative uncharacterized protein 
GRMZM2G083076	RefSeq peptide	NP_001152194	26S proteasome non-ATPase regulatory subunit 13 
GRMZM2G397402	RefSeq peptide	NP_001131510	hypothetical protein LOC100192848 
GRMZM2G025477	RefSeq peptide	NP_001141487	hypothetical protein LOC100273599 
GRMZM2G308127	RefSeq DNA	NM_001147495	hypothetical protein LOC100273046 (LOC100273046), mRNA
AC233894.1_FG005	RefSeq peptide	NP_001144746	hypothetical protein LOC100277795 
GRMZM2G041424	RefSeq peptide	NP_001143279	hypothetical protein LOC100275813 
GRMZM2G111293	UniProtKB/TrEMBL	B6SMJ4	Putative uncharacterized protein 
GRMZM2G105438	RefSeq peptide	NP_001146743	hypothetical protein LOC100280345 
GRMZM2G178432	RefSeq DNA	NM_001150914	hypothetical protein LOC100277314 (LOC100277314), mRNA
GRMZM2G152801	RefSeq peptide	NP_001140915	hypothetical protein LOC100272992 
GRMZM2G013271	RefSeq peptide	NP_001159231	hypothetical protein LOC100304318 
GRMZM2G493549	RefSeq peptide	NP_001145193	hypothetical protein LOC100278443 
GRMZM2G157443	UniProtKB/TrEMBL	B4FUB4	60S acidic ribosomal protein P1Putative uncharacterized protein ;
GRMZM2G311914	RefSeq peptide	NP_001131197	hypothetical protein LOC100192505 
GRMZM2G055467	RefSeq peptide	NP_001132695	hypothetical protein LOC100194175 
GRMZM2G021973	RefSeq peptide	NP_001145053	hypothetical protein LOC100278242 
GRMZM2G152793	UniProtKB/TrEMBL	C4J659	Putative uncharacterized protein 
GRMZM2G448883	RefSeq peptide	NP_001149436	phi-1-like phosphate-induced protein 
GRMZM2G139073	RefSeq peptide	NP_001104951	silky1 
GRMZM2G124644	RefSeq peptide	NP_001148857	LOC100282476 
GRMZM2G017933	RefSeq peptide	NP_001150637	LOC100284270 
GRMZM2G178351	UniProtKB/TrEMBL	B6SYQ1	Cytochrome P450 CYP79A33 
GRMZM2G022019	UniProtKB/Swiss-Prot	O81482	Eukaryotic translation initiation factor 4E-2 (eIF-4E-2)(eIF4E-2)(mRNA cap-binding protein)(eIF-(iso)4F 25 kDa subunit)(eIF-(iso)4F p28 subunit)
GRMZM2G079653	RefSeq peptide	NP_001149587	ethylene-responsive transcription factor 3 
GRMZM2G369939	RefSeq peptide	NP_001168349	hypothetical protein LOC100382117 
GRMZM2G124573	RefSeq DNA	NM_001153456	LOC100280537 (pco108530a), mRNA
GRMZM2G410393	RefSeq peptide	NP_001144544	hypothetical protein LOC100277544 
GRMZM2G168855	RefSeq peptide	NP_001152549	ALG2-interacting protein X 
GRMZM2G012340	RefSeq peptide	NP_001151714	FK506 binding protein 
GRMZM2G119921	RefSeq peptide	NP_001143033	hypothetical protein LOC100275501 
GRMZM2G020081	RefSeq peptide	NP_001147823	LOC100281433 
GRMZM2G125239	RefSeq peptide	NP_001142033	hypothetical protein LOC100274187 
GRMZM2G439201	RefSeq DNA	NM_001153476	elongation factor 1-beta (LOC100280557), mRNA
GRMZM2G168791	RefSeq peptide	NP_001146220	hypothetical protein LOC100279790 
GRMZM2G075942	RefSeq peptide	NP_001146195	hypothetical protein LOC100279765 
GRMZM2G138881	RefSeq peptide	NP_001148789	ER lumen protein retaining receptor C28H8.4 
GRMZM2G020801	RefSeq peptide	NP_001136484	hypothetical protein LOC100216599 
GRMZM2G168002	RefSeq DNA	NM_001165790	hypothetical protein LOC100304352 (LOC100304352), mRNA
GRMZM2G141499	UniProtKB/TrEMBL	B6TPZ1	Putative uncharacterized protein 
GRMZM2G089244	RefSeq DNA	NM_001176835	hypothetical protein LOC100384270 (LOC100384270), mRNA
GRMZM2G164912	RefSeq peptide	NP_001145321	hypothetical protein LOC100278639 
GRMZM2G112228	RefSeq peptide	NP_001140744	hypothetical protein LOC100272819 
GRMZM2G032028	RefSeq peptide	NP_001130753	hypothetical protein LOC100191857 
GRMZM2G151169	RefSeq peptide	NP_001169536	hypothetical protein LOC100383412 
GRMZM2G162065	RefSeq peptide	NP_001159240	hypothetical protein LOC100304328 
GRMZM2G091433	RefSeq peptide	NP_001105089	LOC541965 
GRMZM2G335618	RefSeq peptide	NP_001104985	glutathione transferase19 
GRMZM2G161566	RefSeq peptide	NP_001149678	shikimate kinase 
GRMZM2G163905	UniProtKB/TrEMBL	C0P5H0	Putative uncharacterized protein 
GRMZM2G419953	RefSeq peptide	NP_001130975	hypothetical protein LOC100192080 
GRMZM2G059706	RefSeq peptide	NP_001148909	disease resistance response protein 206 
GRMZM2G087326	RefSeq peptide	NP_001142134	hypothetical protein LOC100274298 
GRMZM2G029258	UniProtKB/TrEMBL	C0PIG5	Putative uncharacterized protein 
GRMZM2G098496	RefSeq peptide	NP_001149191	alpha-soluble NSF attachment protein 
GRMZM2G069099	RefSeq peptide	NP_001130379	hypothetical protein LOC100191475 
GRMZM2G121075	RefSeq peptide	NP_001148350	60S ribosomal protein L12 
GRMZM2G024563	RefSeq peptide	NP_001168901	hypothetical protein LOC100382707 
GRMZM2G103266	RefSeq peptide	NP_001147906	protease 2 
GRMZM2G071626	RefSeq peptide	NP_001144272	hypothetical protein LOC100277150 
GRMZM2G004180	RefSeq peptide	NP_001167839	hypothetical protein LOC100381539 
GRMZM2G138572	RefSeq peptide	NP_001136648	hypothetical protein LOC100216777 
GRMZM2G071347	RefSeq peptide	NP_001169502	hypothetical protein LOC100383376 
GRMZM2G027378	UniProtKB/TrEMBL	B6SK03	Putative uncharacterized proteinUbiquitin-conjugating enzyme spm2 ;
GRMZM2G108919	RefSeq peptide	NP_001148500	polyadenylate-binding protein 2 
AC204604.3_FG008	RefSeq DNA	NM_001157711	LOC100284816 (pco101414), mRNA
GRMZM2G122258	RefSeq peptide	NP_001145717	hypothetical protein LOC100279221 
GRMZM2G410357	UniProtKB/TrEMBL	C0PAV5	Putative uncharacterized protein 
GRMZM2G008175	RefSeq peptide	NP_001143521	hypothetical protein LOC100276204 
GRMZM2G160268	UniProtKB/TrEMBL	B6SZR1	Chlorophyll a-b binding protein 4 
GRMZM2G151700	RefSeq peptide	NP_001147614	actin associated protein 
GRMZM2G419891	RefSeq peptide	NP_001105376	polyubiquitin 
GRMZM2G118939	RefSeq peptide	NP_001148756	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 
GRMZM2G133660	RefSeq peptide	NP_001144484	hypothetical protein LOC100277459 
GRMZM2G005347	RefSeq peptide	NP_001168078	hypothetical protein LOC100381812 
GRMZM2G108087	UniProtKB/TrEMBL	B4FGW6	Putative uncharacterized protein 
GRMZM2G020864	UniProtKB/TrEMBL	B6SWS0	Pentatricopeptide repeat protein PPR868-14 
GRMZM2G145131	RefSeq DNA	NM_001176089	hypothetical protein LOC100383439 (LOC100383439), mRNA
GRMZM2G020098	RefSeq peptide	NP_001141886	hypothetical protein LOC100274029 
GRMZM2G071010	UniProtKB/TrEMBL	B6SK03	Putative uncharacterized proteinUbiquitin-conjugating enzyme spm2 ;
GRMZM2G129304	RefSeq peptide	NP_001169709	hypothetical protein LOC100383590 
GRMZM2G311905	RefSeq peptide	NP_001131873	hypothetical protein LOC100193252 
GRMZM2G167431	RefSeq peptide	NP_001131956	hypothetical protein LOC100193352 
GRMZM2G120200	RefSeq peptide	NP_001136775	hypothetical protein LOC100216918 
GRMZM2G092588	RefSeq peptide	NP_001152532	digalactosyldiacylglycerol synthase 1 
GRMZM2G046317	RefSeq peptide	NP_001158970	hypothetical protein LOC100303919 
GRMZM2G071274	UniProtKB/TrEMBL	C4JBX9	Putative uncharacterized protein 
GRMZM2G028089	RefSeq peptide	NP_001149500	LOC100283126 
GRMZM2G107428	UniProtKB/TrEMBL	B6U0R5	Putative uncharacterized protein 
GRMZM2G099754	RefSeq peptide	NP_001149711	serine/threonine-protein kinase NAK 
GRMZM2G076760	UniProtKB/TrEMBL	B4F8R8	Putative uncharacterized protein 
GRMZM2G380015	RefSeq peptide	NP_001143722	hypothetical protein LOC100276468 
GRMZM2G419859	UniProtKB/TrEMBL	C4IZL7	Putative uncharacterized protein 
GRMZM2G012393	RefSeq peptide	NP_001130875	hypothetical protein LOC100191979 
GRMZM2G140669	RefSeq peptide	NP_001150502	GATA zinc finger family protein 
GRMZM2G405090	RefSeq peptide	NP_001144407	hypothetical protein LOC100277341 
GRMZM2G076810	RefSeq DNA	NM_001176958	hypothetical protein LOC100384419 (LOC100384419), mRNA
GRMZM2G079143	RefSeq DNA	NM_001150484	hypothetical protein LOC100276770 (LOC100276770), mRNA
GRMZM2G035213	RefSeq peptide	NP_001105914	LOC732837 
GRMZM2G087364	RefSeq peptide	NP_001136949	hypothetical protein LOC100217108 
GRMZM2G035779	RefSeq peptide	NP_001148330	Ser/Thr protein phosphatase family 
GRMZM2G419847	UniProtKB/TrEMBL	B6SKR7	Putative uncharacterized protein 
GRMZM2G019450	RefSeq DNA	NM_001148994	hypothetical protein LOC100274674 (LOC100274674), mRNA
GRMZM2G350106	RefSeq DNA	NM_001151773	hypothetical protein LOC100278528 (LOC100278528), mRNA
GRMZM2G152703	RefSeq peptide	NP_001144235	hypothetical protein LOC100277102 
GRMZM2G075683	RefSeq peptide	NP_001137014	hypothetical protein LOC100217181 
GRMZM2G369228	UniProtKB/TrEMBL	B6TFP0	Putative uncharacterized protein 
GRMZM2G012865	RefSeq peptide	NP_001168391	hypothetical protein LOC100382160 
GRMZM2G005526	UniProtKB/TrEMBL	B4FEQ7	Putative uncharacterized protein 
GRMZM2G081582	RefSeq peptide	NP_001151482	phenylalanine ammonia-lyase 
GRMZM2G118637	RefSeq peptide	NP_001148453	polyubiquitin containing 7 ubiquitin monomers 
GRMZM2G090156	RefSeq DNA	NM_001149719	hypothetical protein LOC100275693 (LOC100275693), mRNA
GRMZM2G085117	RefSeq peptide	NP_001150459	arogenate dehydrogenase 
GRMZM2G045686	UniProtKB/TrEMBL	C0HG76	Putative uncharacterized protein 
GRMZM2G047800	RefSeq peptide	NP_001169021	hypothetical protein LOC100382854 
GRMZM2G085089	RefSeq peptide	NP_001148280	selenium-binding protein 
GRMZM2G025171	RefSeq peptide	NP_001148315	ATP synthase delta chain 
GRMZM2G038243	RefSeq peptide	NP_001151147	transferase family protein 
GRMZM2G076263	RefSeq peptide	NP_001150588	LOC100284221 
GRMZM2G162688	RefSeq peptide	NP_001151932	LOC100285569 
GRMZM2G098520	UniProtKB/Swiss-Prot	P05348	Ribulose bisphosphate carboxylase small chain, chloroplastic Precursor (RuBisCO small subunit)(EC 4.1.1.39)
GRMZM2G116475	RefSeq peptide	NP_001150747	salt tolerance-like protein 
GRMZM2G025409	RefSeq peptide	NP_001106062	pentatricopeptide repeat protein 5 
GRMZM2G389768	RefSeq peptide	NP_001141714	hypothetical protein LOC100273843 
GRMZM2G067555	RefSeq peptide	NP_001131400	hypothetical protein LOC100192728 
GRMZM2G159890	RefSeq DNA	NM_001158637	glycerol-3-phosphate acyltransferase (LOC100285746), mRNA
GRMZM2G028556	RefSeq peptide	NP_001105593	glutathione transferase7 
GRMZM2G102843	UniProtKB/TrEMBL	Q1LZZ8	Maturase K Fragment 
GRMZM2G095141	RefSeq peptide	NP_001150050	LOC100283677 
GRMZM2G082940	RefSeq peptide	NP_001152678	blue copper protein 
GRMZM2G151516	RefSeq peptide	NP_001144146	hypothetical protein LOC100276998 
GRMZM2G431114	UniProtKB/TrEMBL	B4FXE3	Putative uncharacterized protein 
GRMZM2G116427	RefSeq peptide	NP_001152309	LOC100285948 
GRMZM2G385945	RefSeq peptide	NP_001142577	hypothetical protein LOC100274838 
GRMZM2G161521	RefSeq peptide	NP_001142983	hypothetical protein LOC100275439 
GRMZM2G162786	RefSeq peptide	NP_001140644	hypothetical protein LOC100272719 
GRMZM2G328742	RefSeq peptide	NP_001131920	hypothetical protein LOC100193310 
GRMZM2G084521	UniProtKB/Swiss-Prot	Q10724	Peptidyl-prolyl cis-trans isomerase, microsomal Fragment (PPIase)(EC 5.2.1.8)(Rotamase)(Cyclophilin)
GRMZM2G099048	RefSeq peptide	NP_001145877	hypothetical protein LOC100279392 
GRMZM2G028605	RefSeq peptide	NP_001169035	hypothetical protein LOC100382871 
GRMZM2G074173	RefSeq peptide	NP_001159187	hypothetical protein LOC100304272 
GRMZM2G052571	RefSeq peptide	NP_001147759	glutathione S-transferase 
GRMZM2G152561	RefSeq peptide	NP_001150848	ATP-dependent RNA helicase 
GRMZM2G043212	RefSeq peptide	NP_001130906	hypothetical protein LOC100192010 
GRMZM2G114741	RefSeq DNA	NM_001150278	LOC100276507 (cl35188_1a), mRNA
GRMZM2G502099	UniProtKB/TrEMBL	B4FFN0	Putative uncharacterized protein 
GRMZM2G131943	RefSeq peptide	NP_001132813	hypothetical protein LOC100194303 
GRMZM2G514899	UniProtKB/TrEMBL	B6UBF6	Putative uncharacterized protein 
GRMZM2G098583	RefSeq peptide	NP_001141522	hypothetical protein LOC100273634 
GRMZM2G138632	RefSeq peptide	NP_001132520	hypothetical protein LOC100193981 
GRMZM2G517421	UniProtKB/TrEMBL	B6T0E2	Putative uncharacterized protein 
GRMZM2G478709	RefSeq DNA	NM_001158890	pre-mRNA-splicing factor prp45 (LOC100286002), mRNA
GRMZM2G115481	RefSeq peptide	NP_001141080	hypothetical protein LOC100273162 
GRMZM2G462639	RefSeq peptide	NP_001148497	CUE domain containing protein 
GRMZM2G174489	RefSeq peptide	NP_001132738	hypothetical protein LOC100194225 
GRMZM2G007012	RefSeq DNA	NM_001158515	cytokinin-O-glucosyltransferase 1 (LOC100285624), mRNA
GRMZM2G427404	UniProtKB/Swiss-Prot	P17788	50S ribosomal protein L2, chloroplastic 
GRMZM2G098460	RefSeq peptide	NP_001147349	drought-induced protein 1 
GRMZM2G148538	UniProtKB/TrEMBL	B6TS88	Putative uncharacterized protein 
GRMZM2G167741	RefSeq peptide	NP_001170397	hypothetical protein LOC100384383 
GRMZM2G011806	RefSeq peptide	NP_001167718	hypothetical protein LOC100381406 
GRMZM2G048411	RefSeq peptide	NP_001123600	LOC100170247 
GRMZM2G414252	RefSeq peptide	NP_001136892	hypothetical protein LOC100217048 
GRMZM2G142030	RefSeq peptide	NP_001151995	LOC100285632 
GRMZM2G043464	RefSeq peptide	NP_001152022	EMB2756 
GRMZM2G064695	RefSeq peptide	NP_001151193	succinyl-CoA ligase beta-chain 
GRMZM2G135570	RefSeq DNA	NM_001177063	hypothetical protein LOC100384550 (LOC100384550), mRNA
GRMZM2G115499	RefSeq peptide	NP_001146267	hypothetical protein LOC100279842 
GRMZM2G555457	UniProtKB/TrEMBL	B4FJT9	Putative uncharacterized protein 
GRMZM2G344418	RefSeq DNA	NM_001148494	hypothetical protein LOC100274115 (LOC100274115), mRNA
GRMZM2G428168	RefSeq peptide	NP_001104987	glutathione S-transferase GST 21 
GRMZM2G135756	RefSeq peptide	NP_001151498	RER1A protein 
GRMZM2G141986	UniProtKB/TrEMBL	Q3LRU9	Gag Fragment 
GRMZM2G123440	RefSeq peptide	NP_001143405	hypothetical protein LOC100276048 
GRMZM2G129444	RefSeq peptide	NP_001151757	LOC100285392 
GRMZM2G103544	RefSeq peptide	NP_001167991	hypothetical protein LOC100381712 
GRMZM2G315121	RefSeq peptide	NP_001132582	hypothetical protein LOC100194053 
GRMZM2G109429	RefSeq peptide	NP_001148701	LOC100282317 
GRMZM2G175076	RefSeq peptide	NP_001151452	chalcone--flavonone isomerase 
GRMZM2G016948	RefSeq DNA	NM_001148961	hypothetical protein LOC100274617 (LOC100274617), mRNA
GRMZM2G150319	RefSeq peptide	NP_001131433	hypothetical protein LOC100192765 
GRMZM2G427564	UniProtKB/Swiss-Prot	P09561	30S ribosomal protein S11, chloroplastic 
GRMZM2G401831	RefSeq peptide	NP_001169108	hypothetical protein LOC100382952 
GRMZM2G066555	RefSeq peptide	NP_001136548	hypothetical protein LOC100216667 
GRMZM2G094428	RefSeq peptide	NP_001151088	LOC100284721 
GRMZM2G103128	RefSeq peptide	NP_001142272	hypothetical protein LOC100274441 
GRMZM2G155931	UniProtKB/Swiss-Prot	P51421	60S ribosomal protein L32 Fragment 
GRMZM2G039622	RefSeq DNA	NM_001175151	hypothetical protein LOC100382407 (LOC100382407), mRNA
GRMZM2G125832	RefSeq peptide	NP_001168064	hypothetical protein LOC100381796 
GRMZM2G066005	RefSeq peptide	NP_001142598	hypothetical protein LOC100274865 
GRMZM2G365515	RefSeq peptide	NP_001147647	mitochondrial carrier-like protein 
GRMZM2G338160	RefSeq peptide	NP_001143508	hypothetical protein LOC100276191 
AC205664.3_FG001	RefSeq peptide	NP_001145823	hypothetical protein LOC100279330 
GRMZM2G017077	RefSeq peptide	NP_001130281	hypothetical protein LOC100191375 
GRMZM2G157679	RefSeq peptide	NP_001145998	hypothetical protein LOC100279528 
GRMZM2G056564	RefSeq peptide	NP_001142681	hypothetical protein LOC100274978 
GRMZM2G088397	RefSeq peptide	NP_001151059	HD domain containing protein 
GRMZM2G075117	RefSeq peptide	NP_001105048	LOC541915 
GRMZM2G081102	RefSeq peptide	NP_001155192	hypothetical protein LOC100273645 
GRMZM2G039538	RefSeq peptide	NP_001159284	hypothetical protein LOC100304374 
GRMZM2G422175	RefSeq peptide	NP_001158992	hypothetical protein LOC100303973 
GRMZM2G103666	RefSeq peptide	NP_001106250	LOC100127522 
GRMZM2G028766	RefSeq peptide	NP_001142194	hypothetical protein LOC100274362 
GRMZM2G122800	RefSeq peptide	NP_001130288	hypothetical protein LOC100191382 
GRMZM2G017835	RefSeq peptide	NP_001141429	hypothetical protein LOC100273539 
GRMZM2G305864	RefSeq peptide	NP_001152702	lipid binding protein 
GRMZM2G021605	RefSeq peptide	NP_001130572	hypothetical protein LOC100191671 
GRMZM2G110834	RefSeq peptide	NP_001136592	hypothetical protein LOC100216715 
AC207628.4_FG005	RefSeq peptide	NP_001149108	outer mitochondrial membrane protein porin 
GRMZM2G467435	RefSeq peptide	NP_001132604	hypothetical protein LOC100194076 
GRMZM2G078548	RefSeq peptide	NP_001152056	methyltransferase 
AC208346.3_FG004	RefSeq peptide	NP_001168002	hypothetical protein LOC100381723 
GRMZM2G173277	RefSeq peptide	NP_001130457	hypothetical protein LOC100191555 
GRMZM2G325650	UniProtKB/TrEMBL	B6SJR4	Protein kinase Kelch repeat:Kelch 
GRMZM2G112456	RefSeq peptide	NP_001152089	oligopeptide transporter 4 
GRMZM2G134182	RefSeq peptide	NP_001141296	hypothetical protein LOC100273387 
GRMZM2G445100	RefSeq peptide	NP_001150029	proteasome subunit alpha type 3 
GRMZM2G166721	RefSeq peptide	NP_001152301	ANAC075 
GRMZM2G144821	RefSeq peptide	NP_001105360	membrane H(+)-ATPase1 
GRMZM2G170099	RefSeq peptide	NP_001136467	hypothetical protein LOC100216578 
GRMZM2G066103	RefSeq peptide	NP_001168111	hypothetical protein LOC100381851 
GRMZM2G065105	RefSeq peptide	NP_001132202	hypothetical protein LOC100193631 
GRMZM2G045215	RefSeq peptide	NP_001149080	anther-specific proline-rich protein APG 
GRMZM2G163193	RefSeq peptide	NP_001141581	hypothetical protein LOC100273697 
GRMZM2G367026	RefSeq peptide	NP_001168250	hypothetical protein LOC100382013 
GRMZM2G061885	RefSeq peptide	NP_001141415	hypothetical protein LOC100273525 
GRMZM2G132116	RefSeq peptide	NP_001130197	hypothetical protein LOC100191291 
GRMZM2G028665	RefSeq peptide	NP_001146511	hypothetical protein LOC100280101 
AC203865.3_FG001	RefSeq peptide	NP_001137104	hypothetical protein LOC100217281 
GRMZM2G063756	UniProtKB/Swiss-Prot	P93703	Cytochrome P450 71C3 (EC 1.14.-.-)(Protein benzoxazineless 5)
GRMZM2G177693	RefSeq peptide	NP_001146100	hypothetical protein LOC100279632 
GRMZM2G171745	RefSeq peptide	NP_001130282	hypothetical protein LOC100191376 
GRMZM2G037789	RefSeq peptide	NP_001142346	hypothetical protein LOC100274517 
GRMZM2G159166	RefSeq peptide	NP_001145564	hypothetical protein LOC100279026 
GRMZM2G338721	RefSeq peptide	NP_001145498	hypothetical protein LOC100278899 
GRMZM2G141382	RefSeq peptide	NP_001169534	hypothetical protein LOC100383409 
GRMZM2G102912	RefSeq DNA	NM_001157022	AIG2-like protein (LOC100284125), mRNA
GRMZM2G050570	RefSeq peptide	NP_001149770	threonine synthase 
GRMZM2G040932	RefSeq peptide	NP_001143566	hypothetical protein LOC100276263 
GRMZM2G047071	RefSeq peptide	NP_001167853	hypothetical protein LOC100381556 
GRMZM2G140667	RefSeq peptide	NP_001105500	ascorbate peroxidase2 
GRMZM2G034773	RefSeq DNA	NM_001152806	hypothetical protein LOC100279853 (LOC100279853), mRNA
GRMZM2G028662	RefSeq peptide	NP_001151375	sorbitol transporter 
GRMZM2G162622	RefSeq peptide	NP_001144332	hypothetical protein LOC100277229 
GRMZM2G050596	RefSeq peptide	NP_001148279	peptidyl-tRNA hydrolase 
GRMZM2G014526	RefSeq peptide	NP_001148894	LOC100282514 
GRMZM2G036547	RefSeq peptide	NP_001130170	hypothetical protein LOC100191264 
GRMZM2G098545	RefSeq peptide	NP_001147667	ATP-dependent protease Clp ATPase subunit 
GRMZM2G049866	RefSeq peptide	NP_001150933	heterogeneous nuclear ribonucleoprotein A3-like protein 2 
GRMZM2G101613	RefSeq peptide	NP_001149832	cyclin-dependent kinase inhibitor 2 
GRMZM2G090722	RefSeq peptide	NP_001137051	hypothetical protein LOC100217223 
GRMZM2G176446	RefSeq peptide	NP_001146406	hypothetical protein LOC100279986 
GRMZM2G098815	RefSeq peptide	NP_001146819	hypothetical protein LOC100280424 
GRMZM2G473976	RefSeq peptide	NP_001132117	hypothetical protein LOC100193534 
GRMZM2G163476	RefSeq peptide	NP_001152351	bile acid sodium symporter/ transporter 
GRMZM2G068947	RefSeq peptide	NP_001105832	12-oxo-phytodienoic acid reductase6 
GRMZM2G152591	RefSeq peptide	NP_001132401	hypothetical protein LOC100193848 
GRMZM2G132465	RefSeq peptide	NP_001149939	RNA binding protein 
